Rank,City ,City_russian,Federal_subject,Federal_district ,Population_2020,Population_2010,Population_growth
1,Moscow,??????, Moscow (federal city)[3],Central,"12,480,481","11,503,501",8.49%
2,Saint Petersburg,?????-?????????, Saint Petersburg (federal city)[4],Northwest,"5,398,064","4,879,566",10.63%
3,Novosibirsk,???????????, Novosibirsk Oblast,Siberia,"1,625,631","1,473,754",10.31%
4,Yekaterinburg,????????????, Sverdlovsk Oblast,Ural,"1,493,749","1,349,772",10.67%
5,Kazan,??????, Republic of Tatarstan,Volga,"1,257,391","1,143,535",9.96%
6,Nizhny Novgorod,?????? ????????, Nizhny Novgorod Oblast,Volga,"1,252,236","1,250,619",0.13%
7,Chelyabinsk,?????????, Chelyabinsk Oblast,Ural,"1,196,680","1,130,132",5.89%
8,Samara,??????, Samara Oblast,Volga,"1,156,659","1,164,685",?0.69%
9,Omsk,????, Omsk Oblast,Siberia,"1,154,507","1,154,116",0.03%
10,Rostov-on-Don,??????-??-????, Rostov Oblast,South[5],"1,137,904","1,089,261",4.47%
11,Ufa,???, Republic of Bashkortostan,Volga,"1,128,787","1,062,319",6.26%
12,Krasnoyarsk,??????????, Krasnoyarsk Krai,Siberia,"1,093,771","973,826",12.32%
13,Voronezh,???????, Voronezh Oblast,Central,"1,058,261","889,680",18.95%
14,Perm,?????, Perm Krai,Volga,"1,055,397","991,162",6.48%
15,Volgograd,?????????, Volgograd Oblast,South,"1,008,998","1,021,215",?1.20%
16,Krasnodar,?????????, Krasnodar Krai,South,"932,629","744,995",25.19%
17,Saratov,???????, Saratov Oblast,Volga,"838,042","837,900",0.02%
18,Tyumen,??????, Tyumen Oblast,Ural,"807,271","581,907",38.73%
19,Tolyatti,????????, Samara Oblast,Volga,"699,429","719,632",?2.81%
20,Izhevsk,??????, Udmurt Republic,Volga,"648,146","627,734",3.25%
21,Barnaul,???????, Altai Krai,Siberia,"632,391","612,401",3.26%
22,Ulyanovsk,?????????, Ulyanovsk Oblast,Volga,"627,705","614,786",2.10%
23,Irkutsk,???????, Irkutsk Oblast,Siberia,"623,562","587,891",6.07%
24,Khabarovsk,?????????, Khabarovsk Krai,Far East,"616,372","577,441",6.74%
25,Yaroslavl,?????????, Yaroslavl Oblast,Central,"608,353","591,486",2.85%
26,Vladivostok,???????????, Primorsky Krai,Far East,"606,561","592,034",2.45%
27,Makhachkala,?????????, Republic of Dagestan,North Caucasus,"603,518","572,076",5.50%
28,Tomsk,?????, Tomsk Oblast,Siberia,"576,624","524,669",9.90%
29,Orenburg,????????, Orenburg Oblast,Volga,"572,188","548,331",4.35%
30,Kemerovo,????????, Kemerovo Oblast,Siberia,"556,382","532,981",4.39%
31,Novokuznetsk,???????????, Kemerovo Oblast,Siberia,"549,403","547,904",0.27%
32,Ryazan,??????, Ryazan Oblast,Central,"539,290","524,927",2.74%
33,Naberezhnye Chelny,?????????? ?????, Republic of Tatarstan,Volga,"533,839","513,193",4.02%
34,Astrakhan,?????????, Astrakhan Oblast,South,"529,793","520,339",1.82%
35,Penza,?????, Penza Oblast,Volga,"520,300","517,311",0.58%
36,Kirov,?????, Kirov Oblast,Volga,"518,348","473,695",9.43%
37,Lipetsk,??????, Lipetsk Oblast,Central,"508,573","508,887",?0.06%
38,Balashikha,????????, Moscow Oblast,Central,"507,366","215,494",135.44%
39,Cheboksary,?????????, Chuvash Republic,Volga,"497,618","453,721",9.67%
40,Kaliningrad,???????????, Kaliningrad Oblast,Northwest,"489,359","431,902",13.30%
41,Tula,????, Tula Oblast,Central,"475,161","501,169",?5.19%
42,Kursk,?????, Kursk Oblast,Central,"452,976","415,159",9.11%
43,Stavropol,??????????, Stavropol Krai,North Caucasus,"450,680","398,539",13.08%
44,Sochi,????, Krasnodar Krai,South,"443,562","343,334",29.19%
45,Ulan-Ude,????-???, Republic of Buryatia,Far East,"439,128","404,426",8.58%
46,Tver,?????, Tver Oblast,Central,"425,072","403,606",5.32%
47,Magnitogorsk,????????????, Chelyabinsk Oblast,Ural,"413,253","407,775",1.34%
48,Ivanovo,???????, Ivanovo Oblast,Central,"404,598","408,330",?0.91%
—,Sevastopol,???????????, Sevastopol (federal city) [a],South,"403,893","342,451",+17.94% [b]
49,Bryansk,??????, Bryansk Oblast,Central,"402,675","415,721",?3.14%
50,Belgorod,????????, Belgorod Oblast,Central,"394,142","356,402",10.59%
51,Surgut,??????, Khanty-Mansi Autonomous Okrug-Yugra,Ural,"380,632","306,675",24.12%
52,Vladimir,????????, Vladimir Oblast,Central,"356,937","345,373",3.35%
53,Chita,????, Zabaykalsky Krai,Far East,"351,784","324,444",8.43%
54,Nizhny Tagil,?????? ?????, Sverdlovsk Oblast,Ural,"349,008","361,811",?3.54%
55,Arkhangelsk,???????????, Arkhangelsk Oblast,Northwest,"346,979","348,783",?0.52%
—,Simferopol,????????o??, Republic of Crimea [a],South,"342,054","343,644",?0.46% [b]
56,Kaluga,??????, Kaluga Oblast,Central,"332,039","324,698",2.26%
57,Smolensk,????????, Smolensk Oblast,Central,"325,495","326,861",?0.42%
58,Volzhsky,????????, Volgograd Oblast,South,"323,906","314,255",3.07%
59,Yakutsk,??????, Sakha (Yakutia) Republic,Far East,"322,987","269,601",19.80%
60,Saransk,???????, Republic of Mordovia,Volga,"320,612","297,415",7.80%
61,Cherepovets,?????????, Vologda Oblast,Northwest,"314,834","312,310",0.81%
62,Kurgan,??????, Kurgan Oblast,Ural,"312,364","333,606",?6.37%
63,Vologda,???????, Vologda Oblast,Northwest,"310,302","301,755",2.83%
64,Oryol,????, Oryol Oblast,Central,"308,838","317,747",?2.80%
65,Podolsk,????????, Moscow Oblast,Central,"308,130","187,961",63.93%
66,Grozny,???????, Chechen Republic,North Caucasus,"305,911","271,573",12.64%
67,Vladikavkaz,???????????, Republic of North Ossetia-Alania,North Caucasus,"303,597","311,693",?2.60%
68,Tambov,??????, Tambov Oblast,Central,"292,140","280,161",4.28%
69,Murmansk,????????, Murmansk Oblast,Northwest,"287,847","307,257",?6.32%
70,Petrozavodsk,????????????, Republic of Karelia,Northwest,"281,023","261,987",7.27%
71,Nizhnevartovsk,?????????????, Khanty-Mansi Autonomous Okrug-Yugra,Ural,"277,668","251,694",10.32%
72,Kostroma,????????, Kostroma Oblast,Central,"276,929","268,742",3.05%
73,Sterlitamak,???????????, Republic of Bashkortostan,Volga,"276,394","273,486",1.06%
74,Novorossiysk,????????????, Krasnodar Krai,South,"274,956","241,952",13.64%
75,Yoshkar-Ola,??????-???, Mari El Republic,Volga,"274,715","248,782",10.42%
76,Khimki,?????, Moscow Oblast,Central,"259,550","207,425",25.13%
77,Taganrog,????????, Rostov Oblast,South,"248,643","257,681",?3.51%
78,Komsomolsk-on-Amur,???????????-??-?????, Khabarovsk Krai,Far East,"244,768","263,906",?7.25%
79,Syktyvkar,?????????, Komi Republic,Northwest,"244,403","235,006",4.00%
80,Nizhnekamsk,??????????, Republic of Tatarstan,Volga,"240,020","234,044",2.55%
81,Nalchik,???????, Kabardino-Balkar Republic,North Caucasus,"239,583","240,203",?0.26%
82,Mytishchi,??????, Moscow Oblast,Central,"235,504","173,160",36.00%
83,Shakhty,?????, Rostov Oblast,South,"230,262","239,987",?4.05%
84,Dzerzhinsk,?????????, Nizhny Novgorod Oblast,Volga,"229,000","240,742",?4.88%
85,Engels,???????, Saratov Oblast,Volga,"227,049","202,419",12.17%
86,Orsk,????, Orenburg Oblast,Volga,"226,502","239,800",?5.55%
87,Blagoveshchensk,????????????, Amur Oblast,Far East,"226,385","214,390",5.59%
88,Bratsk,??????, Irkutsk Oblast,Siberia,"226,269","246,319",?8.14%
89,Korolyov,???????, Moscow Oblast,Central,"225,858","183,402",23.15%
