item_category_name,item_category_name_translated,item_category_id
PC - Гарнитуры/Наушники,PC - Headsets / Headphones,0
Аксессуары - PS2,Accessories - PS2,1
Аксессуары - PS3,Accessories - PS3,2
Аксессуары - PS4,Accessories - PS4,3
Аксессуары - PSP,Accessories - PSP,4
Аксессуары - PSVita,Accessories - PSVita,5
Аксессуары - XBOX 360,Accessories - XBOX 360,6
Аксессуары - XBOX ONE,Accessories - XBOX ONE,7
Билеты (Цифра),Tickets (digits),8
Доставка товара,Delivery of goods,9
Игровые консоли - PS2,Game consoles - PS2,10
Игровые консоли - PS3,Game consoles - PS3,11
Игровые консоли - PS4,Game consoles - PS4,12
Игровые консоли - PSP,Game consoles - PSP,13
Игровые консоли - PSVita,Game consoles - PSVita,14
Игровые консоли - XBOX 360,Game consoles - XBOX 360,15
Игровые консоли - XBOX ONE,Game consoles - XBOX ONE,16
Игровые консоли - Прочие,Game consoles - Other,17
Игры - PS2,Games - PS2,18
Игры - PS3,Games - PS3,19
Игры - PS4,Games - PS4,20
Игры - PSP,Games - PSP,21
Игры - PSVita,Games - PSVita,22
Игры - XBOX 360,Games - XBOX 360,23
Игры - XBOX ONE,Games - XBOX ONE,24
Игры - Аксессуары для игр,Games - Accessories for games,25
Игры Android - Цифра,Games Android - Digital,26
Игры MAC - Цифра,Games MAC - Digital,27
Игры PC - Дополнительные издания,Games PC - Additional publications,28
Игры PC - Коллекционные издания,Games PC - Collector's Edition,29
Игры PC - Стандартные издания,Games PC - Standard Edition,30
Игры PC - Цифра,Games PC - Digital,31
"Карты оплаты (Кино, Музыка, Игры)","Payment card (Movies, Music, Games)",32
Карты оплаты - Live!,Payment cards - Live!,33
Карты оплаты - Live! (Цифра),Payment cards - Live! (Numeral),34
Карты оплаты - PSN,Payment cards - PSN,35
Карты оплаты - Windows (Цифра),Payment card - Windows (figure),36
Кино - Blu-Ray,Movie - Blu-Ray,37
Кино - Blu-Ray 3D,Movie - Blu-Ray 3D,38
Кино - Blu-Ray 4K,Movie - Blu-Ray 4K,39
Кино - DVD,Movie - DVD,40
Кино - Коллекционное,Cinema - Collector,41
"Книги - Артбуки, энциклопедии","Books - artbook, encyclopedia",42
Книги - Аудиокниги,Books - Audiobooks,43
Книги - Аудиокниги (Цифра),Books - Audiobooks (figure),44
Книги - Аудиокниги 1С,Books - Audiobooks 1C,45
Книги - Бизнес литература,Books - Business Books,46
"Книги - Комиксы, манга","Books - Comics, Manga",47
Книги - Компьютерная литература,Books - Computer Books,48
Книги - Методические материалы 1С,Books - Methodical materials 1C,49
Книги - Открытки,Books - Postcards,50
Книги - Познавательная литература,Books - Informative literature,51
Книги - Путеводители,Books - Travel Guides,52
Книги - Художественная литература,Books - Fiction,53
Книги - Цифра,Books - Digital,54
Музыка - CD локального производства,Music - CD of local production,55
Музыка - CD фирменного производства,Music - CD production firm,56
Музыка - MP3,Music - MP3,57
Музыка - Винил,Music - Vinyl,58
Музыка - Музыкальное видео,Music - Music video,59
Музыка - Подарочные издания,Music - Gift Edition,60
Подарки - Атрибутика,Gifts - Attributes,61
"Подарки - Гаджеты, роботы, спорт","Gifts - gadgets, robots, sports",62
Подарки - Мягкие игрушки,Gifts - Soft Toys,63
Подарки - Настольные игры,Gifts - Board Games,64
Подарки - Настольные игры (компактные),Gifts - Games (compact),65
"Подарки - Открытки, наклейки","Gifts - Cards, Stickers",66
Подарки - Развитие,Gifts - Development,67
"Подарки - Сертификаты, услуги","Gifts - certificates, services",68
Подарки - Сувениры,Gifts - Souvenirs,69
Подарки - Сувениры (в навеску),Gifts - Souvenirs (weighed in),70
"Подарки - Сумки, Альбомы, Коврики д/мыши","Gifts - Bags, Albums, Mats d / mouse",71
Подарки - Фигурки,Gifts - Figures,72
Программы - 1С:Предприятие 8,Program - 1C: Enterprise 8,73
Программы - MAC (Цифра),Program - MAC (figure),74
Программы - Для дома и офиса,Program - For home and office,75
Программы - Для дома и офиса (Цифра),Program - Home & Office (Digital),76
Программы - Обучающие,Program - Educational,77
Программы - Обучающие (Цифра),Programs - Educational (figure),78
Служебные,System Tools,79
Служебные - Билеты,Utilities - Tickets,80
Чистые носители (шпиль),Net carriers (spire),81
Чистые носители (штучные),Net carriers (piece),82
Элементы питания,batteries,83
