shop_name,shop_name_translated,shop_id
"!Якутск Орджоникидзе, 56 фран","! Yakutsk Ordzhonikidze, 56 Franc",0
"!Якутск ТЦ ""Центральный"" фран","! Yakutsk TC ""Central"" Franc",1
"Адыгея ТЦ ""Мега""","Adygea TC ""Mega""",2
"Балашиха ТРК ""Октябрь-Киномир""","Balashikha TRC ""October-Kinomir""",3
"Волжский ТЦ ""Волга Молл""","Volzhsky mall ""Volga Mall""",4
"Вологда ТРЦ ""Мармелад""","Vologda SEC ""Marmalade""",5
"Воронеж (Плехановская, 13)","Voronezh (Plekhanovskaya, 13)",6
"Воронеж ТРЦ ""Максимир""","Voronezh SEC ""Maksimir""",7
"Воронеж ТРЦ Сити-Парк ""Град""","Voronezh shopping center City Park ""Castle""",8
Выездная Торговля,Itinerant trade,9
Жуковский ул. Чкалова 39м?,Zhukovsky Street. Chkalov 39m?,10
Жуковский ул. Чкалова 39м²,Zhukovsky Street. Chkalov 39m²,11
Интернет-магазин ЧС,Shop Online Emergencies,12
"Казань ТЦ ""Бехетле""","Kazan shopping center ""Behetle""",13
"Казань ТЦ ""ПаркХаус"" II","Kazan shopping mall of ""Parkhouse"" II of",14
"Калуга ТРЦ ""XXI век""","Kaluga SEC ""XXI Century""",15
"Коломна ТЦ ""Рио""","Kolomna shopping center ""Rio""",16
"Красноярск ТЦ ""Взлетка Плаза""","Krasnoyarsk TC ""Vzletka Plaza""",17
"Красноярск ТЦ ""Июнь""","Krasnoyarsk SC ""June""",18
"Курск ТЦ ""Пушкинский""","Kursk TC ""Pushkin""",19
"Москва ""Распродажа""","Moscow ""Sale""",20
"Москва МТРЦ ""Афи Молл""","Moscow MTRTS ""Afi Mall""",21
Москва Магазин С21,Moscow C21 Store,22
"Москва ТК ""Буденовский"" (пав.А2)","Moscow TK ""Budenovsky"" (pav.A2)",23
"Москва ТК ""Буденовский"" (пав.К7)","Moscow TK ""Budenovsky"" (pav.K7)",24
"Москва ТРК ""Атриум""","Moscow SEC ""Atrium""",25
"Москва ТЦ ""Ареал"" (Беляево)","Moscow shopping mall ""area"" (Belyaevo)",26
"Москва ТЦ ""МЕГА Белая Дача II""","Moscow shopping center ""MEGA Belaya Dacha II""",27
"Москва ТЦ ""МЕГА Теплый Стан"" II","Moscow shopping center ""MEGA Teply Stan"" II of",28
"Москва ТЦ ""Новый век"" (Новокосино)","Moscow shopping center ""New Age"" (Novokosino)",29
"Москва ТЦ ""Перловский""","Moscow shopping center ""Perlovskiy""",30
"Москва ТЦ ""Семеновский""","Moscow shopping center ""Semyonov""",31
"Москва ТЦ ""Серебряный Дом""","Moscow shopping center ""Silver House""",32
"Мытищи ТРК ""XL-3""","Mytishchi TRK ""XL-3""",33
"Н.Новгород ТРЦ ""РИО""","Nizhny Novgorod SEC ""RIO""",34
"Н.Новгород ТРЦ ""Фантастика""","Nizhny Novgorod SEC ""Fantasy""",35
"Новосибирск ТРЦ ""Галерея Новосибирск""","Novosibirsk SEC ""Gallery Novosibirsk""",36
"Новосибирск ТЦ ""Мега""","Novosibirsk shopping center ""Mega""",37
"Омск ТЦ ""Мега""","Omsk TC ""Mega""",38
"РостовНаДону ТРК ""Мегацентр Горизонт""","RostovNaDonu TRC ""Megacenter Horizon""",39
"РостовНаДону ТРК ""Мегацентр Горизонт"" Островной","RostovNaDonu TRC ""Megacenter Horizon"" Island",40
"РостовНаДону ТЦ ""Мега""","RostovNaDonu TC ""Mega""",41
"СПб ТК ""Невский Центр""","St. Petersburg TK ""Nevsky Center""",42
"СПб ТК ""Сенная""","St. Petersburg TK ""Sennaya""",43
"Самара ТЦ ""Мелодия""","Samara mall ""Melody""",44
"Самара ТЦ ""ПаркХаус""","Samara mall of ""Parkhouse""",45
"Сергиев Посад ТЦ ""7Я""","Sergiev Posad TC ""7Ya""",46
"Сургут ТРЦ ""Сити Молл""","Surgut SEC ""City Mall""",47
"Томск ТРЦ ""Изумрудный Город""","Tomsk SEC ""Emerald City""",48
"Тюмень ТРЦ ""Кристалл""","Tyumen SEC ""Crystal""",49
"Тюмень ТЦ ""Гудвин""","Tyumen SC ""Goodwin""",50
"Тюмень ТЦ ""Зеленый Берег""","Tyumen SC ""Green Coast""",51
"Уфа ТК ""Центральный""","Ufa TC ""Central""",52
"Уфа ТЦ ""Семья"" 2","Ufa TC ""Family"" 2",53
"Химки ТЦ ""Мега""","Khimki shopping center ""Mega""",54
Цифровой склад 1С-Онлайн,Digital storage 1C-line,55
"Чехов ТРЦ ""Карнавал""","Czechs SEC ""Carnival""",56
"Якутск Орджоникидзе, 56","Yakutsk Ordzhonikidze, 56",57
"Якутск ТЦ ""Центральный""","Yakutsk TC ""Central""",58
"Ярославль ТЦ ""Альтаир""","Yaroslavl shopping center ""Altair""",59
